"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"3","62.4498507155097","25.9313563893476","36"
"3","62.4475663573853","25.9280004445059","37"
"3","62.4429159731892","25.9242419967434","38"
"3","62.4400360949143","25.9222434342036","39"
"3","62.4345114200605","25.9154068584376","40"
"3","62.4287225167472","25.9151676545512","41"
"3","62.4245758919648","25.9182562399636","42"
"3","62.4228316599158","25.9257604504783","43"
"3","62.4220057433212","25.9319652677853","44"
"3","62.4193513500134","25.9404747331449","45"
"3","62.4146943734173","25.9521651226176","46"
"3","62.4145131","25.95298117","47"
"3","62.41430444","25.95383948","48"
"3","62.41419514","25.95437592","49"
"3","62.41407093","25.95484799","50"
"3","62.41398646","25.95530933","51"
"3","62.41392685","25.95565265","52"
"3","62.41391691","25.95599597","53"
"3","62.41389207","25.95639294","54"
"3","62.41386226","25.95699376","55"
"3","62.41383742","25.95749801","56"
"3","62.41378277","25.95772332","57"
"3","62.41371818","25.95795935","58"
"3","62.41360887","25.95809883","59"
"3","62.41341511","25.95818466","60"
"3","62.41307229","25.9582383","61"
"3","62.4118923236257","25.9578741778095","62"
"3","62.409316691563","25.9531285149648","63"
"3","62.4082894472317","25.9525530001824","64"
"3","62.4040925922145","25.9472348842127","65"
"3","62.3993853015449","25.9446743491444","66"
"3","62.3944141723606","25.945639630212","67"
"3","62.3871241691647","25.9395646376221","68"
"3","62.3819149244778","25.9399337454133","69"
"3","62.3782138733587","25.9379804133885","70"
"3","62.3732762848926","25.9393724029705","71"
"3","62.368203835345","25.9399006905147","72"
"3","62.3616584944584","25.9356053649108","73"
"3","62.3561654288574","25.9325379672748","74"
"3","62.3586427652768","25.923257594067","75"
"3","62.3634346627584","25.9119215827253","76"
"3","62.3645236648665","25.9081085482899","77"
"3","62.3710736273239","25.9027864874833","78"
"3","62.36669797379","25.899597285706","79"
"3","62.3668582722188","25.8881373899283","80"
"3","62.3603381847824","25.8812167660548","81"
"3","62.3548537190313","25.87888900826","82"
"3","62.3520948969169","25.8777123005716","83"
"3","62.3447181272787","25.8751962345499","84"
"3","62.3311437604991","25.8546769172131","85"
"3","62.3328754389691","25.8419744204075","86"
"3","62.3299306508677","25.838812434428","87"
"3","62.3269273136624","25.8386900642889","88"
"3","62.3238590344534","25.8411419082205","89"
"3","62.3191372008294","25.8443391421644","90"
"3","62.316732370983","25.8460496007817","91"
"3","62.315194702997","25.8466789328327","92"
"3","62.3108614646149","25.8416421274009","93"
"3","62.3067483128276","25.8327384319057","94"
"3","62.2972174823418","25.8144729485545","95"
"3","62.2921983776471","25.8140697587044","96"
"3","62.2898306689252","25.8148246815377","97"
"3","62.2862903798779","25.8104846644199","98"
"3","62.2836339078354","25.8066471490128","99"
"3","62.2795810461658","25.8006644325817","100"
"3","62.2753682619519","25.7944706476764","101"
"3","62.2706386322207","25.787140269143","102"
"3","62.2668348367495","25.7772655217592","103"
"3","62.2630684168762","25.7657935603865","104"
"3","62.2580997476708","25.7572884271037","105"
"3","62.2557004435428","25.7521246451156","106"
"3","62.2521742904528","25.7479455937938","107"
"3","62.2510072020811","25.7452229624829","108"
"3","62.2469430836873","25.7428461660995","109"
"3","62.2450020051957","25.7466869487247","110"
"3","62.2426427829218","25.7553772784589","111"
"4","62.2497534160165","25.6900656221937","1"
"4","62.24972277","25.68996955","2"
"4","62.24911082","25.68939556","3"
"4","62.24853382","25.68886985","4"
"4","62.2478098719373","25.6882569696668","5"
"4","62.2458760592299","25.6886751707549","6"
"4","62.2430782316143","25.6936478428945","7"
"4","62.2447297264909","25.6795120671133","8"
"4","62.2441773650743","25.6732111855283","9"
